Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,395.420013,397.250000,393.640015,396.380005,387.983978,108194413
2023-02-27,399.869995,401.290009,396.750000,397.730011,389.305420,80444736
2023-02-28,397.230011,399.279999,396.149994,396.260010,387.866577,96438567
2023-03-01,395.410004,396.690002,393.380005,394.739990,386.378693,99706823
2023-03-02,392.679993,398.690002,392.329987,397.809998,389.383698,85404726
2023-03-03,399.709991,404.450012,399.029999,404.190002,395.628571,90119952
2023-03-06,405.049988,407.450012,404.010010,404.470001,395.902649,72795946
2023-03-07,404.420013,404.670013,397.625000,398.269989,389.833954,108310596
2023-03-08,398.390015,399.709991,396.589996,398.920013,390.470276,74746632
2023-03-09,399.739990,401.480011,390.529999,391.559998,383.266083,111945322
2023-03-10,390.989990,393.160004,384.320007,385.910004,377.735779,189252996
2023-03-13,381.809998,390.390015,380.649994,385.359985,377.197449,157789967
2023-03-14,390.500000,393.450012,387.049988,391.730011,383.432465,149752357
2023-03-15,385.890015,389.489990,383.709991,389.279999,381.034363,172996933
2023-03-16,386.820007,396.470001,386.290009,396.109985,387.719727,143753940
2023-03-17,393.220001,394.399994,388.549988,389.989990,383.186401,140553411
2023-03-20,390.799988,394.170013,390.070007,393.739990,386.871002,93055783
2023-03-21,397.239990,399.410004,395.579987,398.910004,391.950806,91524248
2023-03-22,398.730011,402.489990,392.070007,392.109985,385.269409,111746583
2023-03-23,395.089996,399.290009,390.350006,393.170013,386.310944,119351319
2023-03-24,391.841003,395.839996,389.399994,395.750000,388.845917,107770124
2023-03-27,398.119995,398.920013,395.559998,396.489990,389.572998,74010408
2023-03-28,395.769989,396.489990,393.690002,395.600006,388.698547,62871680
2023-03-29,399.924988,401.600006,398.679993,401.350006,394.348236,77497876
2023-03-30,404.089996,404.350006,401.760010,403.700012,396.657227,69840049
2023-03-31,404.660004,409.700012,404.549988,409.390015,402.248016,112062624
2023-04-03,408.850006,411.369995,408.440002,410.950012,403.780762,67391097
2023-04-04,411.619995,411.920013,407.239990,408.670013,401.540527,66601534
2023-04-05,407.910004,408.700012,405.880005,407.600006,400.489166,65200243
2023-04-06,406.769989,409.480011,405.678009,409.190002,402.051483,63743345
2023-04-10,406.609985,409.690002,405.970001,409.609985,402.464111,63681042
2023-04-11,410.260010,411.179993,408.920013,409.720001,402.572235,59297945
2023-04-12,411.869995,412.170013,407.440002,408.049988,400.931335,86420379
2023-04-13,409.179993,413.839996,407.992188,413.470001,406.256836,85814754
2023-04-14,412.809998,415.089996,410.059998,412.459991,405.264374,78161500
2023-04-17,412.369995,413.959991,411.084991,413.940002,406.718567,66436399
2023-04-18,415.579987,415.720001,412.780212,414.209991,406.983887,63559997
2023-04-19,412.220001,415.079987,412.160004,414.140015,406.915100,55227330
2023-04-20,411.209991,413.700012,410.269989,411.880005,404.694550,75840359
2023-04-21,412.190002,412.679993,410.170013,412.200012,405.008942,73457422
2023-04-24,411.989990,413.070007,410.600006,412.630005,405.431458,64332095
2023-04-25,410.579987,411.160004,406.019989,406.079987,398.995697,97766721
2023-04-26,406.720001,407.839996,403.779999,404.359985,397.305695,80447049
2023-04-27,407.000000,412.690002,406.739990,412.410004,405.215271,92968369
2023-04-28,411.489990,415.940002,411.429993,415.929993,408.673828,89433137
2023-05-01,415.470001,417.619995,415.265015,415.510010,408.261230,62122254
2023-05-02,414.769989,414.820007,407.820007,410.839996,403.672668,103998484
2023-05-03,411.359985,413.869995,407.769989,408.019989,400.901886,91531769
2023-05-04,406.929993,407.269989,403.739990,405.130005,398.062286,94901863
2023-05-05,408.910004,413.720001,408.640015,412.630005,405.431458,87891791
2023-05-08,412.970001,413.239990,411.279999,412.739990,405.539520,50046768
2023-05-09,411.130005,412.089996,410.689392,410.929993,403.761108,49220119
2023-05-10,413.880005,414.535004,408.869995,412.850006,405.647614,96142922
2023-05-11,411.950012,412.429993,409.970001,412.130005,404.940216,70157064
2023-05-12,413.420013,413.640015,409.070007,411.589996,404.409576,70481548
2023-05-15,412.220001,413.429993,410.230011,413.010010,405.804840,54289383
2023-05-16,411.859985,412.815002,410.239990,410.250000,403.092957,57705495
2023-05-17,412.350006,415.855011,410.635010,415.230011,407.986084,87286957
2023-05-18,414.899994,419.670013,414.670013,419.230011,411.916290,97177195
2023-05-19,420.170013,420.720001,417.350006,418.619995,411.316986,103793317
2023-05-22,418.640015,420.390015,417.350006,418.790009,411.483978,60745399
2023-05-23,417.079987,418.721985,413.679993,414.089996,406.865936,86383493
2023-05-24,412.420013,412.820007,409.879486,411.089996,403.918274,89213678
2023-05-25,414.739990,416.160004,412.410095,414.649994,407.416199,90961606
2023-05-26,415.329987,420.769989,415.250000,420.019989,412.692505,93829975
2023-05-30,422.029999,422.579987,418.734985,420.179993,412.849731,72215960
2023-05-31,418.279999,419.220001,416.220001,417.850006,410.560364,110811780
2023-06-01,418.089996,422.920013,416.790009,421.820007,414.461090,88865018
2023-06-02,424.500000,428.739990,423.950012,427.920013,420.454712,91426171
2023-06-05,428.279999,429.619995,426.369995,427.100006,419.649017,65460158
2023-06-06,426.670013,428.577209,425.989990,428.029999,420.562775,64022175
2023-06-07,428.440002,429.619995,426.109985,426.549988,419.108612,85373275
2023-06-08,426.619995,429.600006,425.820007,429.130005,421.643585,61952842
2023-06-09,429.959991,431.989990,428.869995,429.899994,422.400116,85647268
2023-06-12,430.920013,433.880005,430.170013,433.799988,426.232086,76256703
2023-06-13,435.320007,437.329987,434.630005,436.660004,429.042236,95899704
2023-06-14,437.010010,439.061188,433.589996,437.179993,429.553162,100612080
2023-06-15,436.329987,443.899994,436.230011,442.600006,434.878632,110303091
2023-06-16,443.019989,443.607788,438.970001,439.459991,433.397675,114165849
2023-06-20,437.450012,438.369995,435.029999,437.179993,431.149139,76160359
2023-06-21,436.160004,436.989990,434.329987,434.940002,428.940002,76982251
2023-06-22,433.950012,436.619995,433.600006,436.510010,430.488403,70637175
2023-06-23,432.929993,435.059998,432.470001,433.209991,427.233887,92074537
2023-06-26,432.619995,434.609985,431.190002,431.440002,425.488312,72823560
2023-06-27,432.350006,436.809998,431.880005,436.170013,430.153107,72813699
2023-06-28,435.049988,437.440002,434.410004,436.390015,430.370026,75635976
2023-06-29,435.959991,438.279999,435.540009,438.109985,432.066284,67882304
2023-06-30,441.440002,444.299988,441.109985,443.279999,437.164978,104964019
2023-07-03,442.920013,444.079987,442.630005,443.790009,437.667999,32793378
2023-07-05,441.910004,443.889008,441.899994,443.130005,437.017059,58418432
2023-07-06,439.420013,440.100006,437.059998,439.660004,433.594910,80658302
2023-07-07,438.630005,442.640015,438.299988,438.549988,432.500244,86134178
2023-07-10,438.179993,439.839996,437.584991,439.660004,433.594910,62443501
2023-07-11,440.450012,442.970001,439.440002,442.459991,436.356293,64463752
2023-07-12,446.390015,447.479889,444.910004,446.019989,439.867188,91924527
2023-07-13,447.899994,450.380005,447.450012,449.559998,443.358368,72425241
2023-07-14,450.475006,451.359985,448.489990,449.279999,443.082245,69815823
2023-07-17,449.130005,451.929993,449.079987,450.839996,444.620697,52680221
2023-07-18,450.500000,454.859985,450.048401,454.190002,447.924500,80744448
2023-07-19,455.010010,456.429993,454.111908,455.200012,448.920563,65891688
2023-07-20,454.170013,455.100006,451.440002,452.179993,445.942200,70591642
2023-07-21,453.959991,454.165009,452.170013,452.179993,445.942200,71275618
2023-07-24,453.369995,455.040009,452.298004,454.200012,447.934387,54023382
2023-07-25,453.920013,456.734985,453.869995,455.440002,449.157227,55191240
2023-07-26,454.470001,456.989990,453.380005,455.510010,449.226288,71052885
2023-07-27,459.019989,459.440002,451.549988,452.489990,446.247925,92194375
2023-07-28,455.880005,457.779999,452.491791,456.920013,450.616852,80011790
2023-07-31,457.410004,458.160004,456.045013,457.790009,451.474823,62040449
